sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm,species,species_code,sepal_area,petal_area,sepal_petal_ratio,petal_aspect_ratio
5.1,3.5,1.4,0.2,setosa,0,17.849999999999998,0.27999999999999997,3.642857142857143,6.999999999999999
4.9,3.0,1.4,0.2,setosa,0,14.700000000000001,0.27999999999999997,3.5000000000000004,6.999999999999999
4.7,3.2,1.3,0.2,setosa,0,15.040000000000001,0.26,3.6153846153846154,6.5
4.6,3.1,1.5,0.2,setosa,0,14.26,0.30000000000000004,3.0666666666666664,7.5
5.0,3.6,1.4,0.2,setosa,0,18.0,0.27999999999999997,3.5714285714285716,6.999999999999999
5.4,3.9,1.7,0.4,setosa,0,21.060000000000002,0.68,3.1764705882352944,4.25
4.6,3.4,1.4,0.3,setosa,0,15.639999999999999,0.42,3.2857142857142856,4.666666666666667
5.0,3.4,1.5,0.2,setosa,0,17.0,0.30000000000000004,3.3333333333333335,7.5
4.4,2.9,1.4,0.2,setosa,0,12.76,0.27999999999999997,3.1428571428571432,6.999999999999999
4.9,3.1,1.5,0.1,setosa,0,15.190000000000001,0.15000000000000002,3.266666666666667,15.0
5.4,3.7,1.5,0.2,setosa,0,19.980000000000004,0.30000000000000004,3.6,7.5
4.8,3.4,1.6,0.2,setosa,0,16.32,0.32000000000000006,2.9999999999999996,8.0
4.8,3.0,1.4,0.1,setosa,0,14.399999999999999,0.13999999999999999,3.428571428571429,13.999999999999998
4.3,3.0,1.1,0.1,setosa,0,12.899999999999999,0.11000000000000001,3.9090909090909087,11.0
5.8,4.0,1.2,0.2,setosa,0,23.2,0.24,4.833333333333333,5.999999999999999
5.7,4.4,1.5,0.4,setosa,0,25.080000000000002,0.6000000000000001,3.8000000000000003,3.75
5.4,3.9,1.3,0.4,setosa,0,21.060000000000002,0.52,4.153846153846154,3.25
5.1,3.5,1.4,0.3,setosa,0,17.849999999999998,0.42,3.642857142857143,4.666666666666667
5.7,3.8,1.7,0.3,setosa,0,21.66,0.51,3.3529411764705883,5.666666666666667
5.1,3.8,1.5,0.3,setosa,0,19.38,0.44999999999999996,3.4,5.0
5.4,3.4,1.7,0.2,setosa,0,18.36,0.34,3.1764705882352944,8.5
5.1,3.7,1.5,0.4,setosa,0,18.87,0.6000000000000001,3.4,3.75
4.6,3.6,1.0,0.2,setosa,0,16.56,0.2,4.6,5.0
5.1,3.3,1.7,0.5,setosa,0,16.83,0.85,3.0,3.4
4.8,3.4,1.9,0.2,setosa,0,16.32,0.38,2.526315789473684,9.499999999999998
5.0,3.0,1.6,0.2,setosa,0,15.0,0.32000000000000006,3.125,8.0
5.0,3.4,1.6,0.4,setosa,0,17.0,0.6400000000000001,3.125,4.0
5.2,3.5,1.5,0.2,setosa,0,18.2,0.30000000000000004,3.466666666666667,7.5
5.2,3.4,1.4,0.2,setosa,0,17.68,0.27999999999999997,3.714285714285715,6.999999999999999
4.7,3.2,1.6,0.2,setosa,0,15.040000000000001,0.32000000000000006,2.9375,8.0
4.8,3.1,1.6,0.2,setosa,0,14.879999999999999,0.32000000000000006,2.9999999999999996,8.0
5.4,3.4,1.5,0.4,setosa,0,18.36,0.6000000000000001,3.6,3.75
5.2,4.1,1.5,0.1,setosa,0,21.32,0.15000000000000002,3.466666666666667,15.0
5.5,4.2,1.4,0.2,setosa,0,23.1,0.27999999999999997,3.928571428571429,6.999999999999999
4.9,3.1,1.5,0.2,setosa,0,15.190000000000001,0.30000000000000004,3.266666666666667,7.5
5.0,3.2,1.2,0.2,setosa,0,16.0,0.24,4.166666666666667,5.999999999999999
5.5,3.5,1.3,0.2,setosa,0,19.25,0.26,4.230769230769231,6.5
4.9,3.6,1.4,0.1,setosa,0,17.64,0.13999999999999999,3.5000000000000004,13.999999999999998
4.4,3.0,1.3,0.2,setosa,0,13.200000000000001,0.26,3.3846153846153846,6.5
5.1,3.4,1.5,0.2,setosa,0,17.34,0.30000000000000004,3.4,7.5
5.0,3.5,1.3,0.3,setosa,0,17.5,0.39,3.846153846153846,4.333333333333334
4.5,2.3,1.3,0.3,setosa,0,10.35,0.39,3.4615384615384612,4.333333333333334
4.4,3.2,1.3,0.2,setosa,0,14.080000000000002,0.26,3.3846153846153846,6.5
